資  產  科  目,,,物  品  分  類,,貼標籤,定期盤點,,
編號,,名稱,編號,名  稱,【X】,【X】,備  註  欄,
6315,1,,026,砂帶機,,X,,
6315,1,,027,對講機,,X,,
63162,1,辦公室及電腦,001,鍵盤,X,X,,
63162,1,辦公室用品,002,滑鼠,,X,,
63162,1,,003,內置硬盤,,X,,
63162,1,,004,內置DVD光碟機,,X,,
63162,1,,005,外置DVD光碟機,X,X,,
63162,1,,006,視像鏡頭,,X,,
63162,1,,007,USB,,X,,
63162,1,,008,手寫板,X,X,,
63162,1,,009,簡報搖控,X,X,,
63162,1,,011,標籤機,X,X,,
63162,1,,012,過膠機,X,X,入回4272科目賬#003 (翻查過往購入的過膠機購入價值大多超過$3000),
63162,1,,013,滾軸裁紙刀 / 切紙刀,X,X,,
63162,1,,014,啪釘機,X,X,,
63162,1,,015,計算機,X,X,,
63162,1,,016,記憶體,,X,,
63162,1,,017,外置硬盤,X,X,,
6743,1,護理室儀器及,001,手提紅外線溫度測量槍(額頭測溫機),X,X,,
6743,1,用品,002,免接觸額頭探熱器,X,X,,
6743,1,,003,輪椅,X,X,,
6743,1,,004,紫外光殺菌燈車,X,X,,
6743,1,,005,耳探式電子溫度計,X,X,,
6743,1,,006,臂血壓計,X,X,,
